crop_name_ml,crop_name_en,cultivation_zones,soil_types,fertilizers,seasons,pest_control_methods
പുകയില,Betel Leaf,"തൃശ്ശൂർ, തിരുവനന്തപുരം",മണൽ മണ്ണ്,ജൈവവളം,തുലാവർഷം,"സമഗ്ര കീട പരിപാലനം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
ഏലം,Cotton,"പത്തനംതിട്ട, കോട്ടയം",ചെങ്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, ജൈവവളം",തുലാവർഷം,ജൈവ കീട നിയന്ത്രണം
ജാതിക്ക വെളുത്തുള്ളി,Small Millet,"തൃശ്ശൂർ, കോട്ടയം, വയനാട്",കളിമണ്ണ്,"രാസവളം, കമ്പോസ്റ്റ്",കാർഷിക സീസൺ,"രാസ മരുന്ന്, ജൈവ കീട നിയന്ത്രണം"
മധുരക്കിഴങ്ങ്,Pigeon Pea,"വയനാട്, കൊല്ലം, ഇടുക്കി","മണൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്","ജൈവവളം, രാസവളം","കാർഷിക സീസൺ, വേനൽക്കാലം",സമഗ്ര കീട പരിപാലനം
കാപ്പി,Cardamom,"കണ്ണൂർ, എറണാകുളം, കോട്ടയം",മണൽ മണ്ണ്,"ജൈവവളം, കമ്പോസ്റ്റ്","മഴക്കാലം, തുലാവർഷം",ജൈവ കീട നിയന്ത്രണം
തേങ്ങ,Corn,"കണ്ണൂർ, കൊല്ലം, മലപ്പുറം","കളിമണ്ണ്, എക്കൽ മണ്ണ്","രാസവളം, ജൈവവളം","വേനൽക്കാലം, കാർഷിക സീസൺ",രാസ മരുന്ന്
പച്ചമുളക്,Ginger,"തിരുവനന്തപുരം, കാസർഗോഡ്, ഇടുക്കി",മണൽ മണ്ണ്,രാസവളം,കാർഷിക സീസൺ,"സമഗ്ര കീട പരിപാലനം, രാസ മരുന്ന്"
കാപ്പി,Coffee,"കോട്ടയം, തൃശ്ശൂർ, കോഴിക്കോട്","മണൽ മണ്ണ്, ചെങ്കൽ മണ്ണ്",പച്ചിലവളം,മഴക്കാലം,ജൈവ കീട നിയന്ത്രണം
പുകയില,Turmeric,"കോഴിക്കോട്, കണ്ണൂർ, പത്തനംതിട്ട",മണൽ മണ്ണ്,രാസവളം,കാർഷിക സീസൺ,"സമഗ്ര കീട പരിപാലനം, രാസ മരുന്ന്"
വാഴപ്പഴം,Rice,"എറണാകുളം, ഇടുക്കി, പാലക്കാട്","ചെങ്കൽ മണ്ണ്, മണൽ മണ്ണ്",കമ്പോസ്റ്റ്,"കാർഷിക സീസൺ, തുലാവർഷം",രാസ മരുന്ന്
ഗോതമ്പ്,Garlic,"കാസർഗോഡ്, തൃശ്ശൂർ","കളിമണ്ണ്, എക്കൽ മണ്ണ്","കമ്പോസ്റ്റ്, ജൈവവളം",തുലാവർഷം,"പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, ജൈവ കീട നിയന്ത്രണം"
ചെറുകിട (തിനാ / ചാമ),Pigeon Pea,"ഇടുക്കി, തിരുവനന്തപുരം",എക്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, ജൈവവളം",തുലാവർഷം,"സമഗ്ര കീട പരിപാലനം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
കരിമ്പ്,Mango,"ഇടുക്കി, എറണാകുളം, കോട്ടയം",ചെങ്കൽ മണ്ണ്,പച്ചിലവളം,"വേനൽക്കാലം, തുലാവർഷം",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
ഗോതമ്പ്,Drumstick,ഇടുക്കി,എക്കൽ മണ്ണ്,രാസവളം,"തുലാവർഷം, മഴക്കാലം","ജൈവ കീട നിയന്ത്രണം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
കൊക്കോ,Ginger,എറണാകുളം,എക്കൽ മണ്ണ്,"കമ്പോസ്റ്റ്, പച്ചിലവളം","വേനൽക്കാലം, കാർഷിക സീസൺ","പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം, സമഗ്ര കീട പരിപാലനം"
നിലക്കടല,Chili,പാലക്കാട്,മണൽ മണ്ണ്,രാസവളം,തുലാവർഷം,പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
ചോളം,Sugarcane,"പത്തനംതിട്ട, മലപ്പുറം, കൊല്ലം",മണൽ മണ്ണ്,ജൈവവളം,"തുലാവർഷം, വേനൽക്കാലം",പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം
മുരിങ്ങ,Cardamom,പത്തനംതിട്ട,"മണൽ മണ്ണ്, എക്കൽ മണ്ണ്",പച്ചിലവളം,"വേനൽക്കാലം, തുലാവർഷം","സമഗ്ര കീട പരിപാലനം, പ്രകൃതി വഴിയുള്ള നിയന്ത്രണം"
